City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
278,Puerto Baquerizo Moreno,EC,72.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
281,Dingle,PH,78.78,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Westport,US,77.43,broken clouds,41.1415,-73.3579,The Westport Inn
285,Oussouye,SN,86.72,overcast clouds,12.485,-16.5469,Auberge du Routard
286,Paka,MY,79.83,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
287,Cartagena Del Chaira,CO,74.08,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
289,Jaque,PA,83.26,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
290,Ghatanji,IN,97.43,scattered clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
291,Moncao,PT,83.52,overcast clouds,42.0789,-8.4808,Hotel Bienestar Termas de Monção
293,Marzuq,YE,81.34,few clouds,14.4,46.4667,
296,Sola,VU,79.11,moderate rain,-13.8833,167.55,Leumerus Bungalows
297,Ciro Marina,IT,71.42,clear sky,39.3732,17.126,Hotel Miramare
303,Manicore,BR,88.93,broken clouds,-5.8092,-61.3003,Hotel Durval
308,Biak,ID,76.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
311,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
313,Arari,BR,83.08,overcast clouds,-3.4536,-44.78,Churrascaria E Hotel Brisa Do Mearim
315,Cap Malheureux,MU,71.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
318,Kavaratti,IN,85.03,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
320,Bartica,GY,81.21,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
323,Trincomalee,LK,81.57,broken clouds,8.5711,81.2335,Welcombe Hotel
324,Iracoubo,GF,82.72,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
325,Tual,ID,83.73,broken clouds,-5.6667,132.75,Grand Vilia Hotel
326,Peniche,PT,80.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
330,Maragogi,BR,82.72,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
333,Mogadishu,SO,81.37,overcast clouds,2.0371,45.3438,Hotel Juba
335,Bria,CF,81.88,scattered clouds,6.5423,21.9863,WFP Guesthouse
337,Razole,IN,82.51,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
338,Frontera,MX,84.33,clear sky,26.9333,-101.45,Fiesta Inn Monclova
340,Saint-Remy-De-Provence,FR,82.81,clear sky,43.7885,4.8317,Hotel Gounod
341,Acarau,BR,81.09,overcast clouds,-2.8856,-40.12,castelo pizzaria
343,Lodja,CD,78.44,broken clouds,-3.4833,23.4333,
345,Oistins,BB,81.48,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
347,Kharsia,IN,93.29,overcast clouds,21.9667,83.1167,Proposed Madhav Priya Hotel
352,Cockburn Town,TC,78.96,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
353,Kirksville,US,77.58,scattered clouds,40.1948,-92.5833,Budget Host-Village Inn
355,Kudahuvadhoo,MV,82.27,light rain,2.6708,72.8944,Niyama Private Islands Maldives
359,Twentynine Palms,US,78.96,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
365,Inirida,CO,84.31,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
366,Hun,LY,74.91,broken clouds,29.1268,15.9477,Alrwasi Hotel
367,Mackay,AU,70.68,clear sky,-21.15,149.2,International Lodge Motel
368,Sabha,LY,78.4,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
369,Quebradillas,PR,89.69,overcast clouds,18.4738,-66.9385,Villa Abby B&B
370,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
371,Bathsheba,BB,82.69,scattered clouds,13.2167,-59.5167,Atlantis Hotel
373,Naze,JP,71.62,light rain,28.3667,129.4833,Shishime Hotel
375,Griffith,US,87.94,clear sky,41.5284,-87.4237,Apartment above Depot Bar
377,Lacaron,PH,79.14,light rain,6.4489,125.5792,Paradiso Davao Beachfront Hotel & Resort
378,Colares,PT,85.19,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
379,Omis,HR,78.73,clear sky,43.4447,16.6886,Hotel Villa Dvor
380,Jaguarari,BR,88.39,scattered clouds,-10.2639,-40.1958,Hotel Quintal De Casa
382,Moerai,PF,79.68,light rain,-22.4333,-151.3333,Le Manotel
383,Maningrida,AU,75.6,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
384,Muros,ES,81.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
385,Amahai,ID,79.83,broken clouds,-3.3333,128.9167,HOTEL ISABELA
386,Waspan,NI,83.3,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
387,Wadi Maliz,TN,81.75,clear sky,36.4681,8.5495,HOPITAL
390,Meulaboh,ID,79.2,overcast clouds,4.1363,96.1285,Kost Pria
391,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
392,Touros,BR,78.51,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
394,Mairi,BR,89.11,clear sky,-11.7114,-40.1489,Pousada Solar do Monte
397,Trat,TH,85.91,broken clouds,12.5,102.5,สวนหนิง-อัศ
399,Numan,NG,94.03,scattered clouds,9.4667,12.0333,Zangun Motel
401,Acapulco,MX,89.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
404,Faya,SA,77.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
405,Awbari,LY,79.48,clear sky,26.5921,12.7805,فندق أوباري
407,Kendari,ID,75.99,overcast clouds,-3.945,122.4989,Hotel Wixel
408,Laguna,US,73.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
409,Aguililla,MX,85.51,overcast clouds,18.7333,-102.7333,
415,Eyl,SO,83.91,overcast clouds,7.9803,49.8164,Amiin Hotel
417,Allen,US,84.18,scattered clouds,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
418,Muisne,EC,79.32,overcast clouds,0.6,-80.0333,Quinta Samay
420,Vanimo,PG,77.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
421,Ahuatempan,MX,76.57,broken clouds,18.4167,-98.0167,casa de huespedes BRAVO
423,Dakar,SN,92.28,scattered clouds,14.6937,-17.4441,Novotel Dakar
425,Kirakira,SB,78.35,clear sky,-10.4544,161.9205,SanBiz Lodge
426,Garden City,US,85.15,clear sky,42.3256,-83.331,Big Trees Mobile Home Community
429,Hartford,US,81.48,overcast clouds,41.7668,-72.7662,West Hartford Inn
431,Sinnamary,GF,83.1,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
432,Grand-Lahou,CI,83.46,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
433,Kununurra,AU,71.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
434,Montepuez,MZ,71.82,scattered clouds,-13.1256,38.9997,PembaAparthotel
440,Lubao,PH,83.91,scattered clouds,14.9167,120.55,Hacienda Gracia
441,Toamasina,MG,73.36,scattered clouds,-18.1667,49.3833,Hotel H1
442,Tutoia,BR,83.46,light rain,-2.7619,-42.2744,Pousada Guará's
443,Huarmey,PE,70.05,scattered clouds,-10.0681,-78.1522,Hotel Miramar
448,Salgueiro,BR,92.7,broken clouds,-8.0742,-39.1192,Hotel Requinte
449,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
450,Robertson,US,83.35,clear sky,36.5167,-86.8667,Hampton Inn Springfield
453,Marcavelica,PE,80.58,broken clouds,-4.8778,-80.7053,Alpamayo
454,Padang,ID,78.28,broken clouds,-0.9492,100.3543,Mercure Padang
464,Constantine,DZ,81.81,few clouds,36.365,6.6147,Grand Hotel Cirta
466,La Libertad,EC,76.66,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
469,Uruzgan,AF,73.83,clear sky,32.8333,66.0,
472,Muncar,ID,77.41,scattered clouds,-8.4333,114.3333,Zaky Homestay
474,Namatanai,PG,78.64,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
478,Effium,NG,89.64,broken clouds,6.6292,8.0593,
479,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
480,Tura,IN,72.09,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
