,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Maragogi,BR,-9.0122,-35.2225,82.72,73,27,8.43,scattered clouds
331,Kyren,RU,51.6828,102.1408,43.79,45,4,1.99,clear sky
332,Lulea,SE,65.5842,22.1547,55.47,44,0,6.91,clear sky
333,Mogadishu,SO,2.0371,45.3438,81.37,83,100,17.18,overcast clouds
334,Araouane,ML,18.9048,-3.5265,103.87,6,69,21.54,broken clouds
335,Bria,CF,6.5423,21.9863,81.88,59,37,3.0,scattered clouds
336,Portland,US,45.5234,-122.6762,53.64,69,0,4.61,clear sky
337,Razole,IN,16.4833,81.8333,82.51,85,8,5.95,clear sky
338,Frontera,MX,26.9333,-101.45,84.33,56,0,3.0,clear sky
339,Novobirilyussy,RU,56.9514,90.6661,53.49,43,2,5.57,clear sky
340,Saint-Remy-De-Provence,FR,43.7885,4.8317,82.81,28,0,2.3,clear sky
341,Acarau,BR,-2.8856,-40.12,81.09,82,98,15.73,overcast clouds
342,Misratah,LY,32.3754,15.0925,67.87,60,4,9.13,clear sky
343,Lodja,CD,-3.4833,23.4333,78.44,65,82,1.05,broken clouds
344,Norman Wells,CA,65.282,-126.8329,50.67,52,58,3.06,broken clouds
345,Oistins,BB,13.0667,-59.5333,81.48,71,56,19.22,broken clouds
346,Nantucket,US,41.2835,-70.0995,63.14,96,100,6.53,overcast clouds
